"","x"
"494","my take on s withdrawal from actively promoting support for same sex marriage"
"495","feeling sorry for the social team at pretty hard to make a comeback after pissing off the entire gay community"
"496","the community doesn t give a g about hello"
"497","the have just announced a spring offensive yet twitter is alarmed by acknowledging its customers"
"498","weak as piss it seems your commitment to equality is as unreliable as your service of late"
"499","i support equality and i will take my business elsewhere if you don t"
"500","gets pwned by the and then their mail servers go down coincidence"
"501","corporate playbook

chapter in or out 

 coverage allowed to be out 
 homosexuals not allowed to be out"
"502","withdraws from equality debate allegedly due to pressure"
"503","i could threaten to disconnect from except i did months ago when i got my fttp"
"504","your cowardice on the issue of"
"505","can deal with service outages but i can t deal with this so disappointed"
"506","again again again again the crap this morning is why we shouldn t praise corporates for appearing to support…"
"507","but it s ok to discriminate against people because of their sexuality well done"
"508","exclusive shots of the last board meeting"
"509","opponents to ssm claim there is a strategic political amp well funded campaign to change the marriage act pretending they don t"
"510","supports the people who believe a woman was a virgin when she got knocked up by someone else who wasn t her husband"
"511","it s like forgot how to ally and the church didn t even have to show the instruments of torture"
"512","do you really need australia’s largest lte network to communicate with god ed u a u be ed u b u"
"513","you are a disgrace threatens withdraw its contract with if they continue to support"
"514","removed its support for same sex marriage allegedly due to pressure from the"
"515","hey guys if you re currently with consider a change for one thing they kind of suck for another"
"516","look more sheep jumping on the bandwagon media rules the weak of mind it seems"
"517","corporations have an undue influence on politics 
 corporation doesn t involve itself in politics 
 it s appalling"
"518","looks like you ll be keeping my business for a while thanks to withdrawing their support for"
"519","i might go back to the catholic church this weekend to hear the sermon about multinationals overstepping their purpose"
"520","i ve made the move from to this pandering to a prehistoric organisation of tax free bigots is just the latest problem"
"521","position hasn t changed we re just hiding it now so catholics keep lining our pockets"
"522","i call bullshit"
"523","i didnt another reason to change from you re on the wrong side of history fuck you"
"524","what s more twisted the church blackmailing brands or brands capitulating"
"525","your stance on equality is confused do you need to talk to someone"
"526","telstra just told a customer that support for gay marriage is ideology"
"527","maybe could give lgbt s a data free day to say sorry"
"528","australia lags in communications let alone outs at a business lunch at a good melbourne cbd restaurant without wifi"
"529","hey come get my business thanks to s stance on"
"530","no pink dollar without pink representation"
"531","over humanity spineless"
"532","if only had the balls to call their bluff then deny use of infrastructure until church pays tax"
"533","as a public body has decided its role is not to express views on our private lives besides the church already has that covered"
"534","another good reason not to use letting decide social policy"
"535","thanks respecting the cath church defending traditional values as a high value cust youhave my loyalty"
"536","done right thing and pulled out of gay marriage campaign not your turf stick to giving customers free data every other sunday"
"537","oh dear it seems that"
"538","withdraws from debate allegedly due to church pressure"
"539","when you stand by and do nothing you are saying it s ok to discriminate"
"540","dear the old man used to have a standard response to the church s bullying tell the micks to go fuck themselves"
"541","hi im a customer and want to move to you as are homophobic pricks what deals do you have for me"
"542","catholic church is a haven for bigotry hate vile inequalities time for religion to go"
"543","also so wrong in the catholic church debacle they ve used children s education as black mail all you catholics must be so proud"
"544","i wish i had something with telstra so i could cancel"
"545","why is it still legal to be homophonic support bigotry against lgbt people if this were about race you d be in gaol"
"546","there s never been a more exciting time to be an arsehole"
"547","so u were assured by the person i m complaining about that i have nothing to complain about hilarious"
"548","don t sell out to now"
"549","so now the catholic church gets choosy as to what they pull out of"
"550","telstra bows to catholic church’s threat 
 on the catholic church and 
 
https t…"
"551","telstra bows to catholic church’s threat 
 on the catholic church and"
"552","the perfect couple"
"553","if you bow to the church we ll take our business to or probably"
"554","either you re pro equality or pro child abuse take your pick"
"555","sol would never have put up with this ed u a u bd ed u b u"
"556","withdraws their support for the lgbti community because they don t want to upset the church time for a change i think"
"557","i m switching provider"
"558","this is a serious fuck you to every gay patron you may have or could of had"
"559","i m sorry i cannot support a company that bows to pedophile sympathizers such as the expect my cancellation soon"
"560","allegedly withdraws from marriage equality debate under church…"
"561","hey telco fans r u locked into a contract for a service that barely works 
welcome to it s how we con"
"562","community uses pressure tactics to influence organisations seen as advocacy do the same seen as bullying"
"563","backflip on is worse than their customer service and that is really saying something"
"564","you are a disgrace threatens to withdraw its contract with if they continue to support"
"565","allegedly withdraws from marriage equality debate under church pressure"
"566","wonder how would feel if all of those who support pulled their contracts could back…"
"567","wonder how would feel if all of those who support pulled their contracts could backfire bigtime"
"568","will be there or are they otherwise engaged they re so disconnected"
"569","australian church threaten telco over"
"570","gutless"
"571","who within the corporation thought hey you know what s good for business discrimination"
"572","you d think would be busy hiding their pedo friends to be worrying about preaching what s"
"573","a weak position clearly shows that is not authentic in its support for marriage equality actions are how u are judged"
"574","has pulled back on supporting after the catholic church threatened to cancel all contracts with the network"
"575","i d say the bigger pr issue for that it maintains significant commercial ties with a body that covered up the sexual abuse of kids"
"576","to i ll be boycotting you as well to surcoming to the"
"577","the ethics of boycotts"
"578","maybe you bitches can offer another day of free data for this latest pr disaster rofl …"
"579","it s how straight people connect"
"580","that s a joke grow some balls and stand up for what you believe in and support"
"581","now i know the real reason why couldn t take qantas back to australia"
"582","boycott telstra"
"583","backs out of supporting gay marriage after pressure from catholic church"
"584","how about we organise a consumer boycott of for bowing to the medieval bigots and child abusers of the catholic church"
"585","left due to their stance on internet filtering don t like what they are doing now considering doing same"
"586","maybe you bitches can offer another day of free data for this latest pr disaster rofl"
"587","is how straight people connect"
"588","who has better g coverage around melbourne or s reliability amp pricing have become conspicuously terrible"
"589","why would an organisation that uses live sermons and prayer to communicate care about what a telephone company supports …"
"590","why would an organisation that uses live sermons and prayer to communicate care about what a telephone company supports"
"591","look the catholic church strong arms weak orgs like about equality but can t fix its own pedophile problem"
"592","let them use prayer or upgrade to telepathy"
"593","you re a bunch of fucking cowards enjoy the pr disaster biatches lol"
"594","turn off lights let them use prayer or upgrade to telepathy"
"595","looks like gets in a deeper deeper hole every day well done andy we need back x"
"596","guess the disco phone booths during mardi gras were a selfless act and not a pink washing brand exercise"
"597","hey optus willing to sign me up a contract moving from for x mobile plans x home broadband a pay tv service"
"598","i just can t get my head around this man up telstra has removed its support for same sex marriage"
"599","turn off the lights on catholicism let them use prayer and dodo"
"600","it s about time that loudly stated that they will not stand by and have their hard earned dollars be used against them"
"601","your service sucks almost weeks without internet phones amp emails for our business ed u a u bd ed u b u a ed u a u bd ed u b u a ed u a u bd ed u b u a you re a complete disgrace"
"602","allegedly withdraws from marriage equality debate under church pressure…"
"603","are you linked with the catholic church bc i will be leaving with all my services if so"
"604","wowwwww we re not political we re not an ideology we are people"
"605","telstra allegedly withdraws from marriage equality debate…"
"606","allegedly withdraws from debate under church pressure"
"607","sl th telstra allegedly withdraws from marriage equality debate under…"
"608","i wonder if s policy for bullying is staff shouldn t like it but also shouldn t say anything if they see it cuz awks ed u a u bd ed u b u"
"609","advocates cry foul when use tactics that activists themselves use to bully corporations"
"610","why are you trending"
"611","catholic church m nbn boycott stick used to threaten amp others if they support"
"612","if vodafone amp optus were smart they d pay out all contracts of lgbti telstra members and bring them to their support …"
"613","if vodafone amp optus were smart they d pay out all contracts of lgbti telstra members and bring them to their support"
"614","hey one of the reasons i m ok with a phone bill premium is your inclusive reputation what of that now"
"615","u could almost be forgiven for thinking this isnt really the christian thing to do"
"616","went in to to buy a male to male usb cable came out empty handed they no longer support that kind of connection"
"617","oh my god 

 …"
"618","looks like i have another reason to be glad i m not with telstra"
"619","u a u fe f “ caves to pressure from church pulls marriage equality support”"
"620","nominations are now open for the business women s awards"
"621","weak as piss"
"622","caves to church threats of boycott over marriage equality campaign good time for compassionate people to boycott both"
"623","video video news com au sport cricket highlights"
"624","telstra signs b nbn deal"
"625","ed u a u bd ed u b u video video news com au sport cricket highlights"
"626","ed u a u bd ed u b u b telstra continues renewal push with craig dunn joining board"
"627","then fuck"
"628","holy fuck"
"629","haven t been having a good year have they so glad i left them for optus"
"630","shame on bowing to pressure from the fascistic homophobic catholic church"
"631","i told the man at vodafone that my most used app was instagram when it s actually grindr am i now"
"632","till they turn the lights off on the homophobic catholic system"
"633","catholic church gays r cute amp everything keep giving us ur coins cause money got no sexual orientation but ur unions hell no"
"634","will be giving lgbti people a free data day due to their recent moral outage"
"635","breaking affected by a nation wide moral outage in its management network"
"636","apparently are able to resolve my month old complaint without reading any file notes about it"
"637","s it gets better campaign video from is just all sorts of embarrassing now"
"638","found spine i think it belongs to"
"639","re baptising"
"640","in same sex ad flip"
"641","pulling support for may well be the dumbest and biggest social mistake you have ever made …"
"642","corporate continues renewal push expands board with the appointment of former amp ceo craig dunn as a non executive director"
"643","again again again again the crap this morning is why we shouldn t praise corporates for appearing to support issues we value"
"644","bring on today"
"645","pulling support for may well be the dumbest and biggest social mistake you have ever made"
"646","former amp joining board"
"647","gurrowa lab"
"648","gurrowa lab telstra"
"649","strides into sdn with vpns dynamic wans"
"650","why is internet being so"
"651","your rates are so cheap k and i get mb wow where do i sign up"
"652","why is the internet so slow"
"653","great new data deal from telstra"
"654","is being paid billion by the nbn to upgrade the network it sold to the nbn business insider"
"655","many thanks again to australias leading rd world communications clusterfuck"
"656","ahahahahahaha hahahaha haha hahahahahahaha ahahahahahaha hahaha hahhahahahah 

oh this is mbit btw"
"657","check out my ookla speedtest result what s your speed"
"658","looks like a premium sms style scam shrugs and points you to number to unsubscribe no website…"
"659","telstra appoints ex amp boss as director"
"660","it just rained here and my internet speed is dropping quality copper cabling"
"661","australian govt chairman joins board"
"662","thanks"
"663","new perth singapore cable on its way"
"664","yr sorry then tweet to your k followers to alert everyone to check their bills for charges by …"
"665","telstra your customer service is appalling every time i have to deal with you"
"666","no telstra"
"667","i’m in the middle of nowhere but i still have a strong g connection this is why i choose"
"668","pls see accc consumer harrasment calls a day about a bill i have paid is considerd harrasment"
"669","someone forgot to turn on again this morning hardly enough coverage to send a tweet"
"670","’s billion contract raises competition concerns"
"671","is on web"
"672","will its of g at the"
"673","billion deal with nbn company raises fears with watchdog"
"674","transforms its retail stores with"
"675","wonder if the in from to liberals in one year has anything to do with policy"
"676","telstra needs to pull their heads in and their socks up"
"677","kung gusto mo mamatay maga philcare kunin mo"
"678","customers get no advance warning of no compensation offer no apology switching carrier soon"
"679","got home and my broadband has finally been connected only weeks after moving in"
"680","i m still mad about see you later"
"681","you couldn t make this shit up gives b of taxpayer money to polish the hfc turd that we v…"
"682","breaking 
 amp sign new contract to guarantee slower speeds than fibre optics dumb expensive late 
 …"
"683","acknowledge that in all my dealings only one employee up the line was officious all others were courteous amp helpful as poss"
"684","whatever happened was there a pay off somewhere or intimidation of some sort"
"685","another day without reliable internet another day losing money"
"686","blockbuster day of data sets new telstra mobile network record"
"687","in the last months have you seen any advertising from"
"688","a company that stops rereads
 
 a company that has a network that is fast enough for your needs"
"689","b
for each statement please indicate the extent you agree with how that statement describes"
"690","at least google knew what i meant"
"691","why can i get reception in the middle of port phillip bay but not in my lounge room in werribee"
"692","deal raises competition concerns with"
"693","have you ever had a technician visit your home
 
 all embarrassed about copper pit at bottom of street fill…"
"694","how would you rate on each of the following 
 the accuracy of telstra s billing 
superb it finally proved my case"
"695","how would you rate on each of the following 
ease of paying bills
 surprise got that one right"
"696","is being paid billion by the to upgrade the network it sold to the"
"697","have you ever had a technician visit your home
 
 all embarrassed about copper pit at bottom of street filled with water"
"698","have you ever called for 
 like months ending with bbguarantee intervention"
"699","pt scale 
how likely would you be to recommend to a friend or colleague"
"700","love paying for gb love living on a farmmmmmm ed u a u bd ed u b u ed u a u bd ed u b u"
"701","there seems to be always a scandal at as their service keeps dropping out and is in shambles"
"702","telstra inks b nbn deal accc raises concerns"
"703","found your press release fast affordable sooner"
"704","you couldn t make this shit up gives b of taxpayer money to polish the hfc turd that we ve already bought"
"705","basically zero wifi for at least the rest of the day thanks ed u a u bd ed u b u a"
"706","quelle surprise and hand their mates at another b for outdated coax https …"
"707","talent helps vendor target s epidemic"
"708","quelle surprise and hand their mates at another b for outdated coax"
"709","breaking 
 amp sign new contract to guarantee slower speeds than fibre optics dumb expensive late"
"710","how to use telstra prepaid to pay for google play"
"711","will s new deal simply mean stiffer competition within the market"
"712","s construction deal raises competition worries"
"713","if only still public then all telcos could have equitable access to cu air internet cld b x all aus"
"714","deal with national broadband network alarms regulator"
"715","huge delivery agreement w for interesting political comment sure to follow"
"716","why is my bill more after a week outage"
"717","looks like might be having problems again account checking is down again"
"718","being paid to fix telstra s network for nbn – again"
"719","sucks big time trying to do uni work and internet is slow and drops out every two minutes"
"720","ha you should try living in rural australia and having to struggle with when it s working ed u a u bd ed u b u ab ed u a u bd ed u b u a"
"721","gives b to upgrade hfc cable network"
"722","did someone at forget to turn on the coverage this morning hard to find enough to post a tweet"
"723","how to turn a constructive morning into a frozen to do 
too often"
"724","internet how do you free uo the market to competition words why did pull out"
"725","this john szaszvari kid gets a test day offer from for pretty much being a leech shows everything wrong with society"
"726","kaya ipasok na ang para lamunin ng buhay ang"
"727","i need you i need you i need you right now"
"728","get your shit together"
"729","hey if i listen to a radio broadcast of the footy on the app is it unmetered on a pre paid mobile"
"730","something funny for your sunday night the dark ritual of line faults"
"731","could you suggest"
"732","australia is outpacing the in adoption"
"733","why can t you ever be stable even for a single month is it too much to ask when i pay premium fee"
"734","if i get mbps with telstra here in nth qld i get excited promised amp i m paying for adsl"
"735","i see have changed their tune on the free data guy"
"736","highpoint shopping…"
"737","national treasure uses a terabyte of on s unlimited data day"
"738","australia s best pirate aka free data guy gets a job offer involving more pirating from"
"739","speedtest result pay a premium and this the internet speed delivered by utter crap"
"740","weeks since had modem for internet connection from telstra and nbn progress made after calls with tech team"
"741","g lte coming to aldi mobile in may"
"742","which australian mobile network are you with"
"743","thought was meant to better in regional areas moree nsw trying to watch the nrl terrible on but no issues"
"744","‘free data guy’ who took to town with free downloads offered job he can t resist"
"745","i know have transferred their calling centres overseas how come it takes a minimum of minutes b calls are answered"
"746","crickets chirp waiting for a response from is like waiting for hell to freeze over"
"747","hating my internet so much right now days i can t record due to ping"
"748","i m almost glad that my afl live pass isn t accessible fail"
"749","i still don t have phone and internet"
"750","moved into our house over weeks ago and still no phone and still no date for installation this is why people hate"
"751","rla gt"
"752","telstra free data guy john szaszvari working for them"
"753","mbps download just kms by road from where flew to launch new mobile tower ed u a u bd ed u b u a"
"754","dammit my phone needs a bunch of app amp software updates again ed u a u bd ed u b u a time for another so we get another"
"755","australia is outpacing the us in iot adoption telstra cto"
"756","i ll be watching on my phone amp don t disappoint today pleeeeeassse"
"757","tb downloaded sydney man smashes record"
"758","“technology is very very new first company in the entire world to do something with it"
"759","’s “world first” offer to data download guy"
"760","terrible mobile phone reception again i m down to one bar and where i live most of the time it s heaps better"
"761","by"
"762","did anyone else with notice a massive data usage on tuesday th april ie days after the “free data sunday” let me know thanks"
"763","outage what s goin on"
"764","check out my ookla speedtest result super fast cable broadband helpline please"
"765","free data guy to test drive gbps modem despite admitting illegal downloads"
"766","u b australia is outpacing the in adoption cto"
"767","offers data guy a deal that could change the way australia uses the internet"
"768","telstra done fked up i get my neighbours calls and they get mine haven t had homephone and internet for a week"
"769","on its way yet can t get m on flagship device in say ask carrier say ask samsung"
"770","same goes for pricks it s hard but i won t even call pricks well i ll try my hardest"
"771","telstra sigh"
"772","your service is a disgrace"
"773","telstra thanks is rewarding you with a keith urban pre sale reward keith urban"
"774","thanks everyone in this photo for making today so awesome d …"
"775","there isn t enough bandwidth in the lanecove tunnel"
"776","risks exodus unless it repairs its severed connection with customers"
"777","why go and listen to a man who s ways amp application of change is destroying a once good company"
"778","australia is outpacing the us in iot adoption cto"
"779","are you listening to your customers"
"780","are you listening"
"781","why does it take another weeks to correct your error so my family has home amp internet today like we ordered weeks ago"
"782","hey i asked for phone amp internet to be connected today you re now telling me it s another weeks due you your error"
"783","waited all day for guess what why make appointments and cant keep them ed u a u bd ed u b u a ed u a u bd ed u b u a ed u a u bd ed u b u a ed u a u bd ed u b u a"
"784","mobile test wireless technology with speeds never seen before in this country"
"785","automatic package ticks last day of contract"
"786","sign p work 
given date 
confirmed 
told won t be for at least another days"
"787","is having issues in syd cbd no one has reception"
"788","should know it s driving customers mad with it completely disrupts my wifi finally eliminated it amp no more disruption"
"789","you didn t need to spend to open a mobile phone base really"
"790","another one"
"791","from tech tony yesterday pic amp today get internet working well played sir give him a raise"
"792","how many free days of travel would we get if apologised for outages like"
"793","one thing"
"794","australia is outpacing the us in adoption cto"
"795","super taps willis towers watson veteran as cio"
"796","the white pages and landlines work with no internet"
"797","no internet for the next days family and kids are already pissed off thanks"
"798","register on the do not call register with telstra same evening i get a scam call asking me to pay a fee to register"
"799","wow you put me on hold for h min and no reply no internet at home disgusting service we should change the provider"
"800","keeps heat on with offers"
"801","our minds on show"
"802","i got a call about my plan and was told one thing then i went to shop and got another story"
"803","samsung mobile amp telstra service rubbish"
"804","need to know how to set up telstra advise this advice requires platnium support porn kids"
"805","vodafone make mobile progress"
"806","customers complain about slow speeds on free data day"
"807","the time has come kick off session happening in few hours"
"808","telstra conducting network review after outages"
"809","sadly falling short fail but we all know this"
"810","okay just spent hour and minutes on the phone to trying to make an appointment with a technician still no joy what a joke"
"811","telling me i d have to try another device o i did finally get it to play the next day"
"812","got upgraded to adsl telstra sent me a video explaining how my new bill would look wouldn t open got pop up"
"813","think there was slight improvement at rd try sounds good awful visually common to this area i m told"
"814","we’re getting another free data day after massive"
"815","telstra conducting network review read"
"816","what is the future of technical adelaide"
"817","ceo wants investors paid for long term bets"
"818","…"
"819","how have the outages effected you is it enough to have you re think your custom"
"820","thanks for no internet or foxtel telstra really appreciate not having any internet or tv since am ed u a u bd ed u b u d ed u a u bd ed u b u d"
"821","great to see is outpacing the us in adoption cto"
"822","new gb plans coming to regions"
"823","for every day our business internet is down a"
"824","speed i dont think so"
"825","no one can hear me talk on the my mobile phone other side said all break up words fix it now"
"826","they are asking me to be accountable for a limitation that they have in regards to their agreements with"
"827","this is how i feel when i hear the wifi is back up and running"
"828","living in the"
"829","i am trying to leave but their cust service is so good i am finding it hard to let go thank you digant from"
"830","technology may save community nurses millions of"
"831","would you look at that my internet is down again same issue no compensation and my time wasted thanks ed u a u bd ed u b u d ed u a u bc ed u bf u bb"
"832","just joined the line at hobart am ppl in front of me"
"833","u aa u fc u b u c u e u ea u a u e u a u d u b u bf u a u eb u d u b u cd u b u u a u u a u e f u u a u f u bf u fc u cd u c u c u"
"834","users break download record"
"835","businesses out of pocket after ’s nationwide outage"
"836","telstra 

mobilfunkkunde nutzt tbyte an einem tag"
"837","hires cisco ericsson juniper to assess network after outages"
"838","offers second free data day after millions hit by"
"839","some people are still using g phones and not…"
"840","mullaley residents take on over phone outages"
"841","aaaww shucks thankfully i pick up coverage when i m out and some wi fi crazy isn t it"
"842","get wi fi capabilities thanks to"
"843","i m so glad i m paying for cable speeds those speed boost packs really help a whole bunch"
"844","s outage map tonight i m done with you telstra its time we started seeing other people https …"
"845","s outage map tonight i m done with you telstra its time we started seeing other people"
"846","why the data guy won t apologise for downloading worth of free data"
"847","’s chief operations officer kate mckenzie brings"
"848","intermittent problems with broadband for weeks very helpful call centre guy but telstra what s happening"
"849","so angry the rudest and most offensive customer service officer at on the phone just now still fuming hou…"
"850","so angry the rudest and most offensive customer service officer at on the phone just now still fuming hour phone call"
"851","i almost never have g these days what happened to you"
"852","some people are still using phones and not for the reasons you d expect"
"853","talking about businesses of the future"
"854","telstra free data day one user downloaded a whopping gigabytes of data maybe should give him a"
"855","some people are still using"
"856","and are keen to lure customers away from"
"857","some people are still using g phones and not for…"
"858","some people are still using g phones and…"
"859","sl th some people are still using g phones and not for the reasons you d expect"
"860","some people are still using g phones and not for the reasons you d expect"
"861","reminder is giving away unlimited free data this sunday"
"862","am a small business owner and our internet is an absolute joke hard to be a productive member of the economy"
"863","a typical day on adsl copper packet loss unusable joke"
"864","customers feedup with outages contact sm homies dan tris amp crew sign up for the day trial"
"865","and now up to a nice packetloss go copper"
"866","mona vale to church point has old infrastructure and all ever does is the bare minimum this has been an issue for years"
"867","thanks for the crap service get your act together and upgrade amp maintain the northern beaches phones out is not ok"
"868","plus interest cheque in the mail thankyou"
"869","thing you were made aware made the error fix it thanks"
"870","plus interest i made you aware now it s time to do the right"
"871","i emailed they ignored me my proof emails now you owe"
"872","at the address it was connected to i was not at i rang they still"
"873","customers hit by nationwide outage"
"874","how can bill me for two years for a landline service at the"
"875","so i can confirm that twitter does indeed enhance modern life 
and that does not"
"876","inside network woes what happened"
"877","people complaining about data guy ruining it for everyone need to learn about technology"
"878","restoring services after nationwide mobile phone outage"
"879","i m ready had enough of the whole company is a shambles from top to bottom i m looking to go to"
"880","so have finally provided an explanation for their network outages 
but personally i still think it s this https t…"
"881","apparently poor copper wire is causing problem amp our computer drops out we pay for poor service your problem telstra"
"882","says tough luck can t stop your connections dropping out not good enough telstra complaint no we pay no service"
"883","jenny west nsw sales and service director telstra sharing her early negotiating skill development https …"
"884","annnnnd i m back on the phone to 

 ed u a u bd ed u b u ed u a u bd ed u b u ed u a u bd ed u b u"
"885","government to review uso"
"886","free data guy clocks up almost a of downloads"
"887","april updates are live would you know if aussie providers are blocking"
"888","process over insights on enterprise social"
"889","jenny west nsw sales and service director telstra sharing her early negotiating skill development"
"890","why s network problems could cause long term damage"
"891","perhaps optus can provide me with internet postcode"
"892","perth to singapore subsea cable singtel joins"
"893","network speed strained as aussies break telstra s free data day record"
"894","suspicion and manouevering behind and news corp’s"
"895","the guy who downloaded gb of data on free data day because they were impinging on his basic human right to internet ed u a u be ed u b u ed u a u bd ed u b u bb u ed u a u bd ed u b u"
"896","did data guy ruin it for us"
"897","people like you are why we can t have nice things data guy accused of"
"898","terrible outages everything you didn t want to know you can now know"
"899","strike again telling us we used gb of data in hrs you speed would allow a max of gb"
"900","bitches don t know about my jumps"
"901","no internet in altona meadows for adsl"
"902","almost time for that classic line don t you know who i am"
"903","suse barnes happygrumpy score is happy find out more at"
"904","for every day our business internet is down a penguin dies please help us amp the penguins 
 ed u a u bd ed u b u ad ed u a u bd ed u b u a"
"905","you guys are killing our business over days no internet work phone or emails ed u a u bd ed u b u a ed u a u bd ed u b u a ed u a u bd ed u b u a ed u a u bd ed u b u a ed"
"906","hires to assess after multiple outages"
"907","seriously are blaming this guy for slowing down speeds sydney wide they slowed it down for the hell of it"
"908","you charge customes like wounded bulks and do not provide the service for which you repeatedly take money"
"909","would love to have internet access on my g card right now"
"910","telstra super appoints cio from willis towers watson"
"911","terrible telstra outages everything you didn t want to know you can now know"
"912","terrible telstra outages everything you didn t want to know you can now know sydney — during…"
"913","enjoy terrible outages everything you didn t want to know you can now know"
"914","now it loads"
"915","spoke with data guy won’t apologise for downloading gb worth of content blames telstra https t…"
"916","spoke with data guy won’t apologise for downloading gb worth of content blames telstra"
"917","wants suppliers to explain why its network keeps going down"
"918","data guy’s downloads were equivalent to this much cash"
"919","again no coverage don t tell me to turn my device off and on again it s your problem not mine"
"920","free of charge data day april"
"921","free guy devours almost tb in a day way to go"
"922","for with day"
"923","finally explains repeated outages"
"924","telstra mobile broadband outages finally explained"
"925","telstra finally explains outages"
"926","s free data day leads to tb usage by one resident
read more"
"927","telstra s support for same sex marriage will be interrupted from pm til am every thursday and sunday 
 …"
"928","is discriminating against me and only giving me g signal"
"929","s l o w c l a p"
"930","my mum is awesome from supporting a basic human right"
"931","is there a in the area cloud based office ground to a halt with no internet"
"932","really disappointed in wasn t good but retracting support is weak shameful and m…"
"933","i m sorry i ve stayed away so long but will you have me and all my gays ed u a u bc ed u bc u ed u a u bd ed u b u ad"
"934","the catholic church must have a hell of a lot on money invested in this company a hell of a lot"
"935","really disappointed in wasn t good but retracting support is weak shameful and misguided"
"936","i’m gonna start using my data exclusively for grindr and hardcore gay porn …"
"937","i’m gonna start using my data exclusively for grindr and hardcore gay porn"
"938","so telstra how much does supporting freedom cost"
"939","i m with dodo and which runs via a telstra phone line and that s down too"
"940","telstra s support for same sex marriage will be interrupted from pm til am every thursday and sunday"
"941","fuck you i will never support your brand ever again you backward cowards"
"942","what a disaster telstra you never give in to terrorism"
"943","service amp catholic church service both grossly inadequate for the needs of the st century"
"944","perhaps are hoping for another to stop people from calling to leave"
"945","is there a risk those rainbow colours will cause a"
"946","i love how catholic church is trending for all the wrong reasons"
"947","yesterday i was h from melbourne and could hardly get mobile signal what is the site to check outages"
"948","ftw since sunday i have had to deal wit dial up speed"
"949","backs down on after catholic church threatens to excommunicate its telephone lines"
"950","since march fed up"
"951","more outages this morning enough is enough"
"952","is there another outage"
"953","what is going on today"
"954","no coverage fitzroy"
"955","says it all"
"956","we were told would be until april shop today advises the lack of service will be until th april"
"957","hehehe
 a company that has a reliable network"
"958","so over it my data has not been working all day"
"959","you fkn reckon how about every day for the last month"
"960","actually according to your link your experiencing long delays 
priceless"
"961","gutted minutes to go in nail biter does it again"
"962","what is happening in mont albert victoria just been told we will have no internet for days no info on website"
"963","we have no internet and no phone connection for the last days what s going on post code rivervale wa"
"964","entitled to more than a free data day assoc prof aviva freilich explains"
"965","edge i m on the edge network atm that s how patchy your reception is"
"966","another telstra outage for home internet with a day etc and no explanation anymore more info"
"967","news at"
"968","is anyone else have tech issues with telstra broadband cable"
"969","is permanent in coolangatta"
"970","how does a service start working after days with zero communications from any service provider"
"971","the reason behind last nites it s just not funny anymore compensation please"
"972","to the extreme side outages over many days is crap"
"973","it is still down with no plan or communication to resolve all round f n"
"974","looks like another"
"975","my newest article"
"976","no adsl at here we go again time for some monetary compensation for lost services"
"977","hey no internet here at"
"978","more no internet what are you doing"
"979","don t know but people are reporting issues i am also having issues"
"980","lot s of problems right now getting pissed"
"981","no broadband again"
"982","looks like another bendigo and victoria no data for the past hour"
"983","checkout why broadband internet amp wifi down in"
"984","another at postcode this is getting beyond a joke"
"985","days after i report an outage that both you and know nothing about another is know known"
"986","adsl in surfside is so slow"
"987","again no cable broadband in north manly"
"988","reported outage with cable broadband yesterday effects service no updates even though they promised"
"989","day of interesting how the service status page isn t mobile friendly"
"990","wtf is this network couldn t even watch the movie online is there any way i can get rid of this"
"991","umm yes i would if your service hadn t become as bad as used to be"
"992","unable to make calls send texts receive calls another pcode ed u a u bd ed u b u"
"993","wtf"
"994","network outages finally explained"
"995","now my messagebank is not available after missing an important call telstra is getting seriously random"
