"","score","text"
"446",-2,"shame on and the catholic bullys all of my familys telstra accounts will be cancelled this week im disgusted…"
"447",2,"isn t getting any business with me after this stunt with the catholics 

i won t support a business that supports a…"
"448",0,"will amp not retreat your public support for 
show they should do it"
"449",1,"all i m getting in my feeds is and it s not pretty"
"450",0,"apologies if anyone was offended by that last tweet i m pissed off at the moment along with many other people over"
"451",1,"catholic church blackmails telstra to ditch support for marriage equality"
"452",0,"retreating on support harms amp empowers"
"453",3,"so supports less than it supports an organisation that hides by its clergy how is that right"
"454",-2,"mr digges undoubtedly many of the catholic population of sydney would be horrified by mr digges bullying tactics"
"455",1,"defeated by love but i ll crush you with words and watch your corpse dissipate into the winds of nothingness"
"456",-2,"clinging onto what power you have is slowly being pried off your pseudo reality is dying you ll ultimately be"
"457",-3,"religion is a neurological disorder society s accepted mental illness your anorexic claw that s desperately"
"458",0,"your choices and actions reflect the kind of rotting soul that decays within your husk"
"459",-3,"fail for caving into those bigoted cunts with their persecution complex the catholic church how christ like"
"460",0,"hateful removes support for marriage due to pressure from"
"461",0,"i cant believe that telstra took catholic hierarchy seriously most catholics think they are re…"
"462",2,"isn t getting any business with me after this stunt with the catholics 

i won t support a business that supports anti"
"463",1,"lol no no my point was how could know s a r c a s m good confession from being a saint remember"
"464",-2,"shame on and the catholic bullys all of my familys telstra accounts will be cancelled this week im disgusted"
"465",-1,"u have elevated yourself decide who is a true catholic it s your sort of jesus hates"
"466",-1,"lmaoooooo oh the burn ed u a u bd ed u b u a ed u a u bd ed u b u a ed u a u bd ed u b u a"
"467",0,"wish would fix feckin broadband that quickly toady"
"468",0,"telstra signs b deal to move hfc users to nbn"
"469",-1,"if you are neutral in situations of injustice you have chosen the side of the oppressor"
"470",-1,"i cant believe that telstra took catholic hierarchy seriously most catholics think they are reactionary jokes"
"471",-3,"poor form we re supposed to stand up to bullies and not to cave to peer pressure"
"472",0,"child rapists direct the course of business over my never connected body"
"473",0,"are reporting outages of integrity all across their network"
"474",1,"wonder if the flys their ceo is gay"
"475",1,"imagine the salesforce account mentions in hyper drive today they ve turned on us let s give another free data day ok"
"476",0,"was never a good agenda for to be on should have just shut up amp be neutral promo dept failure"
"477",-2,"dumb you ll regret your decision to p off the whole gay community hopefully a majority of your customers will give you the flick"
"478",-1,"we re against discrimination but we re not going to say so because the catholics might hurt our profits not the best slogan"
"479",-2,"gives in to the catholic church s bullying on after it threatened to dump the telco"
"480",0,"shit has forgotten how many gays work for them the catholic church must be really cupping their balls"
"481",1,"telstra withdraws support for same sex marriage pressure from catholic church"
"482",0,"i am a catholic how does this action acknowledge me as a customer"
"483",1,"excellent"
"484",-1,"very bad business decision is right is on the wrong side of history here"
"485",0,"when is just out of reach"
"486",-1,"feeling sorry for the social team at pretty hard to make a comeback after pissing off the entire gay communit…"
"487",-1,"dear telstra please sort your shit out as well as your shit internet thanks"
"488",1,"this marriage equality backdown thing seems like it could be a bit of a beat up thoughts"
"489",1,"kicking own goals as if it were the captain of the under s back in well in"
"490",0,"telstra withdraws from marriage equality debate…"
"491",-1,"a very bad business decision and one that could see supporters of boycot your services"
"492",0,"proudly say my phone service is with virgin"
"493",-4,"this whole ordeal reminds me of one thing how fucking ruthless and evil the catholic church can be"
"494",1,"my take on s withdrawal from actively promoting support for same sex marriage"
"495",-1,"feeling sorry for the social team at pretty hard to make a comeback after pissing off the entire gay community"
"496",0,"the community doesn t give a g about hello"
"497",-2,"the have just announced a spring offensive yet twitter is alarmed by acknowledging its customers"
"498",-1,"weak as piss it seems your commitment to equality is as unreliable as your service of late"
"499",1,"i support equality and i will take my business elsewhere if you don t"
"500",0,"gets pwned by the and then their mail servers go down coincidence"
"501",0,"corporate playbook

chapter in or out 

 coverage allowed to be out 
 homosexuals not allowed to be out"
"502",0,"withdraws from equality debate allegedly due to pressure"
"503",-1,"i could threaten to disconnect from except i did months ago when i got my fttp"
"504",-1,"your cowardice on the issue of"
"505",-1,"can deal with service outages but i can t deal with this so disappointed"
"506",1,"again again again again the crap this morning is why we shouldn t praise corporates for appearing to support…"
"507",0,"but it s ok to discriminate against people because of their sexuality well done"
"508",0,"exclusive shots of the last board meeting"
"509",1,"opponents to ssm claim there is a strategic political amp well funded campaign to change the marriage act pretending they don t"
"510",1,"supports the people who believe a woman was a virgin when she got knocked up by someone else who wasn t her husband"
"511",0,"it s like forgot how to ally and the church didn t even have to show the instruments of torture"
"512",0,"do you really need australia’s largest lte network to communicate with god ed u a u be ed u b u"
"513",0,"you are a disgrace threatens withdraw its contract with if they continue to support"
"514",1,"removed its support for same sex marriage allegedly due to pressure from the"
"515",-1,"hey guys if you re currently with consider a change for one thing they kind of suck for another"
"516",-1,"look more sheep jumping on the bandwagon media rules the weak of mind it seems"
"517",-2,"corporations have an undue influence on politics 
 corporation doesn t involve itself in politics 
 it s appalling"
"518",2,"looks like you ll be keeping my business for a while thanks to withdrawing their support for"
"519",0,"i might go back to the catholic church this weekend to hear the sermon about multinationals overstepping their purpose"
"520",-1,"i ve made the move from to this pandering to a prehistoric organisation of tax free bigots is just the latest problem"
"521",0,"position hasn t changed we re just hiding it now so catholics keep lining our pockets"
"522",-1,"i call bullshit"
"523",-2,"i didnt another reason to change from you re on the wrong side of history fuck you"
"524",-1,"what s more twisted the church blackmailing brands or brands capitulating"
"525",-1,"your stance on equality is confused do you need to talk to someone"
"526",1,"telstra just told a customer that support for gay marriage is ideology"
"527",0,"maybe could give lgbt s a data free day to say sorry"
"528",0,"australia lags in communications let alone outs at a business lunch at a good melbourne cbd restaurant without wifi"
"529",0,"hey come get my business thanks to s stance on"
"530",0,"no pink dollar without pink representation"
"531",0,"over humanity spineless"
"532",-1,"if only had the balls to call their bluff then deny use of infrastructure until church pays tax"
"533",0,"as a public body has decided its role is not to express views on our private lives besides the church already has that covered"
"534",1,"another good reason not to use letting decide social policy"
"535",1,"thanks respecting the cath church defending traditional values as a high value cust youhave my loyalty"
"536",2,"done right thing and pulled out of gay marriage campaign not your turf stick to giving customers free data every other sunday"
"537",0,"oh dear it seems that"
"538",0,"withdraws from debate allegedly due to church pressure"
"539",-1,"when you stand by and do nothing you are saying it s ok to discriminate"
"540",-2,"dear the old man used to have a standard response to the church s bullying tell the micks to go fuck themselves"
"541",0,"hi im a customer and want to move to you as are homophobic pricks what deals do you have for me"
"542",-4,"catholic church is a haven for bigotry hate vile inequalities time for religion to go"
"543",-1,"also so wrong in the catholic church debacle they ve used children s education as black mail all you catholics must be so proud"
"544",0,"i wish i had something with telstra so i could cancel"
"545",0,"why is it still legal to be homophonic support bigotry against lgbt people if this were about race you d be in gaol"
"546",1,"there s never been a more exciting time to be an arsehole"
"547",-1,"so u were assured by the person i m complaining about that i have nothing to complain about hilarious"
"548",0,"don t sell out to now"
"549",0,"so now the catholic church gets choosy as to what they pull out of"
"550",-1,"telstra bows to catholic church’s threat 
 on the catholic church and 
 
https t…"
"551",-1,"telstra bows to catholic church’s threat 
 on the catholic church and"
"552",1,"the perfect couple"
"553",0,"if you bow to the church we ll take our business to or probably"
"554",-1,"either you re pro equality or pro child abuse take your pick"
"555",0,"sol would never have put up with this ed u a u bd ed u b u"
"556",0,"withdraws their support for the lgbti community because they don t want to upset the church time for a change i think"
"557",0,"i m switching provider"
"558",-1,"this is a serious fuck you to every gay patron you may have or could of had"
"559",-1,"i m sorry i cannot support a company that bows to pedophile sympathizers such as the expect my cancellation soon"
"560",0,"allegedly withdraws from marriage equality debate under church…"
"561",3,"hey telco fans r u locked into a contract for a service that barely works 
welcome to it s how we con"
"562",-1,"community uses pressure tactics to influence organisations seen as advocacy do the same seen as bullying"
"563",-1,"backflip on is worse than their customer service and that is really saying something"
"564",0,"you are a disgrace threatens to withdraw its contract with if they continue to support"
"565",0,"allegedly withdraws from marriage equality debate under church pressure"
"566",2,"wonder how would feel if all of those who support pulled their contracts could back…"
"567",2,"wonder how would feel if all of those who support pulled their contracts could backfire bigtime"
"568",0,"will be there or are they otherwise engaged they re so disconnected"
"569",-1,"australian church threaten telco over"
"570",-1,"gutless"
"571",0,"who within the corporation thought hey you know what s good for business discrimination"
"572",-1,"you d think would be busy hiding their pedo friends to be worrying about preaching what s"
"573",2,"a weak position clearly shows that is not authentic in its support for marriage equality actions are how u are judged"
"574",1,"has pulled back on supporting after the catholic church threatened to cancel all contracts with the network"
"575",-1,"i d say the bigger pr issue for that it maintains significant commercial ties with a body that covered up the sexual abuse of kids"
"576",1,"to i ll be boycotting you as well to surcoming to the"
"577",0,"the ethics of boycotts"
"578",0,"maybe you bitches can offer another day of free data for this latest pr disaster rofl …"
"579",0,"it s how straight people connect"
"580",0,"that s a joke grow some balls and stand up for what you believe in and support"
"581",0,"now i know the real reason why couldn t take qantas back to australia"
"582",-1,"boycott telstra"
"583",1,"backs out of supporting gay marriage after pressure from catholic church"
"584",-1,"how about we organise a consumer boycott of for bowing to the medieval bigots and child abusers of the catholic church"
"585",1,"left due to their stance on internet filtering don t like what they are doing now considering doing same"
"586",0,"maybe you bitches can offer another day of free data for this latest pr disaster rofl"
"587",0,"is how straight people connect"
"588",-1,"who has better g coverage around melbourne or s reliability amp pricing have become conspicuously terrible"
"589",1,"why would an organisation that uses live sermons and prayer to communicate care about what a telephone company supports …"
"590",1,"why would an organisation that uses live sermons and prayer to communicate care about what a telephone company supports"
"591",0,"look the catholic church strong arms weak orgs like about equality but can t fix its own pedophile problem"
"592",1,"let them use prayer or upgrade to telepathy"
"593",-1,"you re a bunch of fucking cowards enjoy the pr disaster biatches lol"
"594",1,"turn off lights let them use prayer or upgrade to telepathy"
"595",2,"looks like gets in a deeper deeper hole every day well done andy we need back x"
"596",0,"guess the disco phone booths during mardi gras were a selfless act and not a pink washing brand exercise"
"597",1,"hey optus willing to sign me up a contract moving from for x mobile plans x home broadband a pay tv service"
"598",1,"i just can t get my head around this man up telstra has removed its support for same sex marriage"
"599",0,"turn off the lights on catholicism let them use prayer and dodo"
"600",-1,"it s about time that loudly stated that they will not stand by and have their hard earned dollars be used against them"
"601",-2,"your service sucks almost weeks without internet phones amp emails for our business ed u a u bd ed u b u a ed u a u bd ed u b u a ed u a u bd ed u b u a you re a complete disgrace"
"602",0,"allegedly withdraws from marriage equality debate under church pressure…"
"603",0,"are you linked with the catholic church bc i will be leaving with all my services if so"
"604",0,"wowwwww we re not political we re not an ideology we are people"
"605",0,"telstra allegedly withdraws from marriage equality debate…"
"606",0,"allegedly withdraws from debate under church pressure"
"607",0,"sl th telstra allegedly withdraws from marriage equality debate under…"
"608",1,"i wonder if s policy for bullying is staff shouldn t like it but also shouldn t say anything if they see it cuz awks ed u a u bd ed u b u"
"609",-2,"advocates cry foul when use tactics that activists themselves use to bully corporations"
"610",0,"why are you trending"
"611",-1,"catholic church m nbn boycott stick used to threaten amp others if they support"
"612",2,"if vodafone amp optus were smart they d pay out all contracts of lgbti telstra members and bring them to their support …"
"613",2,"if vodafone amp optus were smart they d pay out all contracts of lgbti telstra members and bring them to their support"
"614",1,"hey one of the reasons i m ok with a phone bill premium is your inclusive reputation what of that now"
"615",0,"u could almost be forgiven for thinking this isnt really the christian thing to do"
"616",1,"went in to to buy a male to male usb cable came out empty handed they no longer support that kind of connection"
"617",0,"oh my god 

 …"
"618",2,"looks like i have another reason to be glad i m not with telstra"
"619",1,"u a u fe f “ caves to pressure from church pulls marriage equality support”"
"620",1,"nominations are now open for the business women s awards"
"621",-1,"weak as piss"
"622",-1,"caves to church threats of boycott over marriage equality campaign good time for compassionate people to boycott both"
"623",0,"video video news com au sport cricket highlights"
"624",0,"telstra signs b nbn deal"
"625",0,"ed u a u bd ed u b u video video news com au sport cricket highlights"
"626",0,"ed u a u bd ed u b u b telstra continues renewal push with craig dunn joining board"
"627",-1,"then fuck"
"628",0,"holy fuck"
"629",2,"haven t been having a good year have they so glad i left them for optus"
"630",-1,"shame on bowing to pressure from the fascistic homophobic catholic church"
"631",0,"i told the man at vodafone that my most used app was instagram when it s actually grindr am i now"
"632",0,"till they turn the lights off on the homophobic catholic system"
"633",0,"catholic church gays r cute amp everything keep giving us ur coins cause money got no sexual orientation but ur unions hell no"
"634",1,"will be giving lgbti people a free data day due to their recent moral outage"
"635",-1,"breaking affected by a nation wide moral outage in its management network"
"636",-1,"apparently are able to resolve my month old complaint without reading any file notes about it"
"637",0,"s it gets better campaign video from is just all sorts of embarrassing now"
"638",0,"found spine i think it belongs to"
"639",0,"re baptising"
"640",0,"in same sex ad flip"
"641",1,"pulling support for may well be the dumbest and biggest social mistake you have ever made …"
"642",0,"corporate continues renewal push expands board with the appointment of former amp ceo craig dunn as a non executive director"
"643",0,"again again again again the crap this morning is why we shouldn t praise corporates for appearing to support issues we value"
"644",0,"bring on today"
"645",1,"pulling support for may well be the dumbest and biggest social mistake you have ever made"
"646",0,"former amp joining board"
"647",0,"gurrowa lab"
"648",0,"gurrowa lab telstra"
"649",1,"strides into sdn with vpns dynamic wans"
"650",0,"why is internet being so"
"651",0,"your rates are so cheap k and i get mb wow where do i sign up"
"652",-1,"why is the internet so slow"
"653",1,"great new data deal from telstra"
"654",1,"is being paid billion by the nbn to upgrade the network it sold to the nbn business insider"
"655",1,"many thanks again to australias leading rd world communications clusterfuck"
"656",0,"ahahahahahaha hahahaha haha hahahahahahaha ahahahahahaha hahaha hahhahahahah 

oh this is mbit btw"
"657",0,"check out my ookla speedtest result what s your speed"
"658",0,"looks like a premium sms style scam shrugs and points you to number to unsubscribe no website…"
"659",0,"telstra appoints ex amp boss as director"
"660",0,"it just rained here and my internet speed is dropping quality copper cabling"
"661",0,"australian govt chairman joins board"
"662",0,"thanks"
"663",0,"new perth singapore cable on its way"
"664",-1,"yr sorry then tweet to your k followers to alert everyone to check their bills for charges by …"
"665",-1,"telstra your customer service is appalling every time i have to deal with you"
"666",0,"no telstra"
"667",1,"i’m in the middle of nowhere but i still have a strong g connection this is why i choose"
"668",0,"pls see accc consumer harrasment calls a day about a bill i have paid is considerd harrasment"
"669",1,"someone forgot to turn on again this morning hardly enough coverage to send a tweet"
"670",-1,"’s billion contract raises competition concerns"
"671",0,"is on web"
"672",0,"will its of g at the"
"673",-1,"billion deal with nbn company raises fears with watchdog"
"674",0,"transforms its retail stores with"
"675",1,"wonder if the in from to liberals in one year has anything to do with policy"
"676",0,"telstra needs to pull their heads in and their socks up"
"677",1,"kung gusto mo mamatay maga philcare kunin mo"
"678",-1,"customers get no advance warning of no compensation offer no apology switching carrier soon"
"679",0,"got home and my broadband has finally been connected only weeks after moving in"
"680",-1,"i m still mad about see you later"
"681",-1,"you couldn t make this shit up gives b of taxpayer money to polish the hfc turd that we v…"
"682",-3,"breaking 
 amp sign new contract to guarantee slower speeds than fibre optics dumb expensive late 
 …"
"683",1,"acknowledge that in all my dealings only one employee up the line was officious all others were courteous amp helpful as poss"
"684",-1,"whatever happened was there a pay off somewhere or intimidation of some sort"
"685",0,"another day without reliable internet another day losing money"
"686",1,"blockbuster day of data sets new telstra mobile network record"
"687",0,"in the last months have you seen any advertising from"
"688",2,"a company that stops rereads
 
 a company that has a network that is fast enough for your needs"
"689",0,"b
for each statement please indicate the extent you agree with how that statement describes"
"690",0,"at least google knew what i meant"
"691",0,"why can i get reception in the middle of port phillip bay but not in my lounge room in werribee"
"692",-1,"deal raises competition concerns with"
"693",0,"have you ever had a technician visit your home
 
 all embarrassed about copper pit at bottom of street fill…"
"694",1,"how would you rate on each of the following 
 the accuracy of telstra s billing 
superb it finally proved my case"
"695",2,"how would you rate on each of the following 
ease of paying bills
 surprise got that one right"
"696",1,"is being paid billion by the to upgrade the network it sold to the"
"697",0,"have you ever had a technician visit your home
 
 all embarrassed about copper pit at bottom of street filled with water"
"698",1,"have you ever called for 
 like months ending with bbguarantee intervention"
"699",1,"pt scale 
how likely would you be to recommend to a friend or colleague"
"700",2,"love paying for gb love living on a farmmmmmm ed u a u bd ed u b u ed u a u bd ed u b u"
"701",-2,"there seems to be always a scandal at as their service keeps dropping out and is in shambles"
"702",-1,"telstra inks b nbn deal accc raises concerns"
"703",2,"found your press release fast affordable sooner"
"704",-1,"you couldn t make this shit up gives b of taxpayer money to polish the hfc turd that we ve already bought"
"705",0,"basically zero wifi for at least the rest of the day thanks ed u a u bd ed u b u a"
"706",0,"quelle surprise and hand their mates at another b for outdated coax https …"
"707",0,"talent helps vendor target s epidemic"
"708",0,"quelle surprise and hand their mates at another b for outdated coax"
"709",-3,"breaking 
 amp sign new contract to guarantee slower speeds than fibre optics dumb expensive late"
"710",0,"how to use telstra prepaid to pay for google play"
"711",0,"will s new deal simply mean stiffer competition within the market"
"712",-1,"s construction deal raises competition worries"
"713",1,"if only still public then all telcos could have equitable access to cu air internet cld b x all aus"
"714",0,"deal with national broadband network alarms regulator"
"715",1,"huge delivery agreement w for interesting political comment sure to follow"
"716",0,"why is my bill more after a week outage"
"717",0,"looks like might be having problems again account checking is down again"
"718",0,"being paid to fix telstra s network for nbn – again"
"719",-1,"sucks big time trying to do uni work and internet is slow and drops out every two minutes"
"720",-1,"ha you should try living in rural australia and having to struggle with when it s working ed u a u bd ed u b u ab ed u a u bd ed u b u a"
"721",1,"gives b to upgrade hfc cable network"
"722",0,"did someone at forget to turn on the coverage this morning hard to find enough to post a tweet"
"723",0,"how to turn a constructive morning into a frozen to do 
too often"
"724",1,"internet how do you free uo the market to competition words why did pull out"
"725",-1,"this john szaszvari kid gets a test day offer from for pretty much being a leech shows everything wrong with society"
"726",0,"kaya ipasok na ang para lamunin ng buhay ang"
"727",1,"i need you i need you i need you right now"
"728",-1,"get your shit together"
"729",0,"hey if i listen to a radio broadcast of the footy on the app is it unmetered on a pre paid mobile"
"730",-3,"something funny for your sunday night the dark ritual of line faults"
"731",0,"could you suggest"
"732",0,"australia is outpacing the in adoption"
"733",1,"why can t you ever be stable even for a single month is it too much to ask when i pay premium fee"
"734",2,"if i get mbps with telstra here in nth qld i get excited promised amp i m paying for adsl"
"735",1,"i see have changed their tune on the free data guy"
"736",0,"highpoint shopping…"
"737",2,"national treasure uses a terabyte of on s unlimited data day"
"738",2,"australia s best pirate aka free data guy gets a job offer involving more pirating from"
"739",-1,"speedtest result pay a premium and this the internet speed delivered by utter crap"
"740",1,"weeks since had modem for internet connection from telstra and nbn progress made after calls with tech team"
"741",0,"g lte coming to aldi mobile in may"
"742",0,"which australian mobile network are you with"
"743",-1,"thought was meant to better in regional areas moree nsw trying to watch the nrl terrible on but no issues"
"744",2,"‘free data guy’ who took to town with free downloads offered job he can t resist"
"745",0,"i know have transferred their calling centres overseas how come it takes a minimum of minutes b calls are answered"
"746",-3,"crickets chirp waiting for a response from is like waiting for hell to freeze over"
"747",0,"hating my internet so much right now days i can t record due to ping"
"748",1,"i m almost glad that my afl live pass isn t accessible fail"
"749",0,"i still don t have phone and internet"
"750",-1,"moved into our house over weeks ago and still no phone and still no date for installation this is why people hate"
"751",0,"rla gt"
"752",1,"telstra free data guy john szaszvari working for them"
"753",0,"mbps download just kms by road from where flew to launch new mobile tower ed u a u bd ed u b u a"
"754",0,"dammit my phone needs a bunch of app amp software updates again ed u a u bd ed u b u a time for another so we get another"
"755",0,"australia is outpacing the us in iot adoption telstra cto"
"756",-1,"i ll be watching on my phone amp don t disappoint today pleeeeeassse"
"757",0,"tb downloaded sydney man smashes record"
"758",0,"“technology is very very new first company in the entire world to do something with it"
"759",0,"’s “world first” offer to data download guy"
"760",0,"terrible mobile phone reception again i m down to one bar and where i live most of the time it s heaps better"
"761",0,"by"
"762",1,"did anyone else with notice a massive data usage on tuesday th april ie days after the “free data sunday” let me know thanks"
"763",0,"outage what s goin on"
"764",2,"check out my ookla speedtest result super fast cable broadband helpline please"
"765",0,"free data guy to test drive gbps modem despite admitting illegal downloads"
"766",0,"u b australia is outpacing the in adoption cto"
"767",0,"offers data guy a deal that could change the way australia uses the internet"
"768",0,"telstra done fked up i get my neighbours calls and they get mine haven t had homephone and internet for a week"
"769",0,"on its way yet can t get m on flagship device in say ask carrier say ask samsung"
"770",1,"same goes for pricks it s hard but i won t even call pricks well i ll try my hardest"
"771",0,"telstra sigh"
"772",-1,"your service is a disgrace"
"773",2,"telstra thanks is rewarding you with a keith urban pre sale reward keith urban"
"774",1,"thanks everyone in this photo for making today so awesome d …"
"775",1,"there isn t enough bandwidth in the lanecove tunnel"
"776",-1,"risks exodus unless it repairs its severed connection with customers"
"777",1,"why go and listen to a man who s ways amp application of change is destroying a once good company"
"778",0,"australia is outpacing the us in iot adoption cto"
"779",0,"are you listening to your customers"
"780",0,"are you listening"
"781",1,"why does it take another weeks to correct your error so my family has home amp internet today like we ordered weeks ago"
"782",-1,"hey i asked for phone amp internet to be connected today you re now telling me it s another weeks due you your error"
"783",0,"waited all day for guess what why make appointments and cant keep them ed u a u bd ed u b u a ed u a u bd ed u b u a ed u a u bd ed u b u a ed u a u bd ed u b u a"
"784",0,"mobile test wireless technology with speeds never seen before in this country"
"785",0,"automatic package ticks last day of contract"
"786",2,"sign p work 
given date 
confirmed 
told won t be for at least another days"
"787",-1,"is having issues in syd cbd no one has reception"
"788",-2,"should know it s driving customers mad with it completely disrupts my wifi finally eliminated it amp no more disruption"
"789",0,"you didn t need to spend to open a mobile phone base really"
"790",0,"another one"
"791",1,"from tech tony yesterday pic amp today get internet working well played sir give him a raise"
"792",2,"how many free days of travel would we get if apologised for outages like"
"793",0,"one thing"
"794",0,"australia is outpacing the us in adoption cto"
"795",1,"super taps willis towers watson veteran as cio"
"796",1,"the white pages and landlines work with no internet"
"797",0,"no internet for the next days family and kids are already pissed off thanks"
"798",-1,"register on the do not call register with telstra same evening i get a scam call asking me to pay a fee to register"
"799",0,"wow you put me on hold for h min and no reply no internet at home disgusting service we should change the provider"
"800",0,"keeps heat on with offers"
"801",0,"our minds on show"
"802",0,"i got a call about my plan and was told one thing then i went to shop and got another story"
"803",-1,"samsung mobile amp telstra service rubbish"
"804",1,"need to know how to set up telstra advise this advice requires platnium support porn kids"
"805",1,"vodafone make mobile progress"
"806",-1,"customers complain about slow speeds on free data day"
"807",0,"the time has come kick off session happening in few hours"
"808",0,"telstra conducting network review after outages"
"809",-3,"sadly falling short fail but we all know this"
"810",0,"okay just spent hour and minutes on the phone to trying to make an appointment with a technician still no joy what a joke"
"811",0,"telling me i d have to try another device o i did finally get it to play the next day"
"812",1,"got upgraded to adsl telstra sent me a video explaining how my new bill would look wouldn t open got pop up"
"813",1,"think there was slight improvement at rd try sounds good awful visually common to this area i m told"
"814",1,"we’re getting another free data day after massive"
"815",0,"telstra conducting network review read"
"816",0,"what is the future of technical adelaide"
"817",0,"ceo wants investors paid for long term bets"
"818",0,"…"
"819",1,"how have the outages effected you is it enough to have you re think your custom"
"820",1,"thanks for no internet or foxtel telstra really appreciate not having any internet or tv since am ed u a u bd ed u b u d ed u a u bd ed u b u d"
"821",1,"great to see is outpacing the us in adoption cto"
"822",0,"new gb plans coming to regions"
"823",0,"for every day our business internet is down a"
"824",0,"speed i dont think so"
"825",-1,"no one can hear me talk on the my mobile phone other side said all break up words fix it now"
"826",-1,"they are asking me to be accountable for a limitation that they have in regards to their agreements with"
"827",0,"this is how i feel when i hear the wifi is back up and running"
"828",0,"living in the"
"829",1,"i am trying to leave but their cust service is so good i am finding it hard to let go thank you digant from"
"830",0,"technology may save community nurses millions of"
"831",-2,"would you look at that my internet is down again same issue no compensation and my time wasted thanks ed u a u bd ed u b u d ed u a u bc ed u bf u bb"
"832",0,"just joined the line at hobart am ppl in front of me"
"833",0,"u aa u fc u b u c u e u ea u a u e u a u d u b u bf u a u eb u d u b u cd u b u u a u u a u e f u u a u f u bf u fc u cd u c u c u"
"834",-1,"users break download record"
"835",0,"businesses out of pocket after ’s nationwide outage"
"836",0,"telstra 

mobilfunkkunde nutzt tbyte an einem tag"
"837",0,"hires cisco ericsson juniper to assess network after outages"
"838",1,"offers second free data day after millions hit by"
"839",0,"some people are still using g phones and not…"
"840",0,"mullaley residents take on over phone outages"
"841",-1,"aaaww shucks thankfully i pick up coverage when i m out and some wi fi crazy isn t it"
"842",0,"get wi fi capabilities thanks to"
"843",2,"i m so glad i m paying for cable speeds those speed boost packs really help a whole bunch"
"844",0,"s outage map tonight i m done with you telstra its time we started seeing other people https …"
"845",0,"s outage map tonight i m done with you telstra its time we started seeing other people"
"846",3,"why the data guy won t apologise for downloading worth of free data"
"847",0,"’s chief operations officer kate mckenzie brings"
"848",-1,"intermittent problems with broadband for weeks very helpful call centre guy but telstra what s happening"
"849",-2,"so angry the rudest and most offensive customer service officer at on the phone just now still fuming hou…"
"850",-2,"so angry the rudest and most offensive customer service officer at on the phone just now still fuming hour phone call"
"851",0,"i almost never have g these days what happened to you"
"852",0,"some people are still using phones and not for the reasons you d expect"
"853",0,"talking about businesses of the future"
"854",1,"telstra free data day one user downloaded a whopping gigabytes of data maybe should give him a"
"855",0,"some people are still using"
"856",0,"and are keen to lure customers away from"
"857",0,"some people are still using g phones and not for…"
"858",0,"some people are still using g phones and…"
"859",0,"sl th some people are still using g phones and not for the reasons you d expect"
"860",0,"some people are still using g phones and not for the reasons you d expect"
"861",2,"reminder is giving away unlimited free data this sunday"
"862",-1,"am a small business owner and our internet is an absolute joke hard to be a productive member of the economy"
"863",-3,"a typical day on adsl copper packet loss unusable joke"
"864",0,"customers feedup with outages contact sm homies dan tris amp crew sign up for the day trial"
"865",1,"and now up to a nice packetloss go copper"
"866",-1,"mona vale to church point has old infrastructure and all ever does is the bare minimum this has been an issue for years"
"867",0,"thanks for the crap service get your act together and upgrade amp maintain the northern beaches phones out is not ok"
"868",0,"plus interest cheque in the mail thankyou"
"869",-1,"thing you were made aware made the error fix it thanks"
"870",1,"plus interest i made you aware now it s time to do the right"
"871",0,"i emailed they ignored me my proof emails now you owe"
"872",0,"at the address it was connected to i was not at i rang they still"
"873",0,"customers hit by nationwide outage"
"874",0,"how can bill me for two years for a landline service at the"
"875",2,"so i can confirm that twitter does indeed enhance modern life 
and that does not"
"876",0,"inside network woes what happened"
"877",-2,"people complaining about data guy ruining it for everyone need to learn about technology"
"878",0,"restoring services after nationwide mobile phone outage"
"879",2,"i m ready had enough of the whole company is a shambles from top to bottom i m looking to go to"
"880",0,"so have finally provided an explanation for their network outages 
but personally i still think it s this https t…"
"881",-4,"apparently poor copper wire is causing problem amp our computer drops out we pay for poor service your problem telstra"
"882",3,"says tough luck can t stop your connections dropping out not good enough telstra complaint no we pay no service"
"883",1,"jenny west nsw sales and service director telstra sharing her early negotiating skill development https …"
"884",0,"annnnnd i m back on the phone to 

 ed u a u bd ed u b u ed u a u bd ed u b u ed u a u bd ed u b u"
"885",0,"government to review uso"
"886",1,"free data guy clocks up almost a of downloads"
"887",0,"april updates are live would you know if aussie providers are blocking"
"888",0,"process over insights on enterprise social"
"889",1,"jenny west nsw sales and service director telstra sharing her early negotiating skill development"
"890",-2,"why s network problems could cause long term damage"
"891",0,"perhaps optus can provide me with internet postcode"
"892",0,"perth to singapore subsea cable singtel joins"
"893",-1,"network speed strained as aussies break telstra s free data day record"
"894",-1,"suspicion and manouevering behind and news corp’s"
"895",2,"the guy who downloaded gb of data on free data day because they were impinging on his basic human right to internet ed u a u be ed u b u ed u a u bd ed u b u bb u ed u a u bd ed u b u"
"896",-1,"did data guy ruin it for us"
"897",2,"people like you are why we can t have nice things data guy accused of"
"898",-1,"terrible outages everything you didn t want to know you can now know"
"899",-1,"strike again telling us we used gb of data in hrs you speed would allow a max of gb"
"900",0,"bitches don t know about my jumps"
"901",0,"no internet in altona meadows for adsl"
"902",1,"almost time for that classic line don t you know who i am"
"903",1,"suse barnes happygrumpy score is happy find out more at"
"904",-1,"for every day our business internet is down a penguin dies please help us amp the penguins 
 ed u a u bd ed u b u ad ed u a u bd ed u b u a"
